epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.44648438692092896,0.000699999975040555,1.3948217630386353,0.561718761920929,0.9618477821350098
1,0.5190104246139526,0.000699999975040555,1.084259033203125,0.591796875,0.9262571334838867
2,0.5511718988418579,0.000699999975040555,0.9807559847831726,0.587109386920929,0.9625665545463562
3,0.5709635615348816,0.000699999975040555,0.9174906015396118,0.610546886920929,0.9040311574935913
4,0.5933593511581421,0.000699999975040555,0.8997939825057983,0.6136718988418579,0.9010730981826782
5,0.6041666865348816,0.000699999975040555,0.8638023734092712,0.619140625,0.8845483064651489
6,0.6167968511581421,0.000699999975040555,0.8504046201705933,0.630859375,0.854350745677948
7,0.6236979365348816,0.000699999975040555,0.8377190828323364,0.624218761920929,0.8673686981201172
8,0.625,0.000699999975040555,0.8306265473365784,0.6207031011581421,0.8853866457939148
9,0.6466146111488342,0.00024500000290572643,0.7901296019554138,0.6371093988418579,0.8575628399848938
10,0.646484375,0.00024500000290572643,0.793232262134552,0.6390625238418579,0.8494470715522766
11,0.6526041626930237,0.00024500000290572643,0.7769365310668945,0.6292968988418579,0.8818157315254211
12,0.6714843511581421,1.9999999494757503e-05,0.7140833139419556,0.628125011920929,0.8103584051132202
13,0.7200520634651184,1.9999999494757503e-05,0.6170670986175537,0.5804687738418579,1.1794979572296143
14,0.7515624761581421,1.9999999494757503e-05,0.5544387698173523,0.688281238079071,0.7406108975410461
15,0.766406238079071,1.9999999494757503e-05,0.5232429504394531,0.7574218511581421,0.5215649604797363
16,0.78515625,1.9999999494757503e-05,0.4890574514865875,0.756640613079071,0.5853236317634583
17,0.7911458611488342,1.9999999494757503e-05,0.47775328159332275,0.657421886920929,0.9397103190422058
18,0.8148437738418579,6.999999641266186e-06,0.4406580626964569,0.8148437738418579,0.4282647967338562
19,0.8138020634651184,6.999999641266186e-06,0.4316018223762512,0.790234386920929,0.48489928245544434
20,0.8166666626930237,6.999999641266186e-06,0.427406370639801,0.8003906011581421,0.46197691559791565
21,0.8184896111488342,2.449999783493695e-06,0.41351038217544556,0.811718761920929,0.43737053871154785
22,0.8285156488418579,2.449999783493695e-06,0.41324883699417114,0.807812511920929,0.4256312847137451
23,0.8298177123069763,2.449999783493695e-06,0.39787253737449646,0.8003906011581421,0.44850248098373413
